"U:0","U:1","U:2","p"
0,0,0,7.7026e-09
0,0,0,-0.00014878
0,0,0,-0.00041216
0,0,0,-0.00057711
0,0,0,-0.00059709
0,0,0,-0.00045407
0,0,0,-0.00014988
0,0,0,0.00030853
0,0,0,0.00091452
0,0,0,0.0016626
0,0,0,0.002548
0,0,0,0.0035668
0,0,0,0.0047151
0,0,0,0.0059889
0,0,0,0.0073843
0,0,0,0.0088972
0,0,0,0.010523
0,0,0,0.012257
0,0,0,0.014095
0,0,0,0.016032
0,0,0,0.018062
0,0,0,0.020182
0,0,0,0.022385
0,0,0,0.024668
0,0,0,0.027027
0,0,0,0.029456
0,0,0,0.031951
0,0,0,0.034507
0,0,0,0.037121
0,0,0,0.039788
0,0,0,0.042504
0,0,0,0.045264
0,0,0,0.048066
0,0,0,0.050905
0,0,0,0.053778
0,0,0,0.056682
0,0,0,0.059614
0,0,0,0.06257
0,0,0,0.065547
0,0,0,0.06854
0,0,0,0.071546
0,0,0,0.074562
0,0,0,0.077585
0,0,0,0.08061
0,0,0,0.083636
0,0,0,0.086658
0,0,0,0.089675
0,0,0,0.092681
0,0,0,0.095675
0,0,0,0.098651
0,0,0,0.1016
0,0,0,0.10453
0,0,0,0.10743
0,0,0,0.11028
0,0,0,0.1131
0,0,0,0.11587
0,0,0,0.11858
0,0,0,0.12124
0,0,0,0.12383
0,0,0,0.12635
0,0,0,0.1288
0,0,0,0.13116
0,0,0,0.13342
0,0,0,0.13559
0,0,0,0.13766
0,0,0,0.13961
0,0,0,0.14144
0,0,0,0.14314
0,0,0,0.14471
0,0,0,0.14613
0,0,0,0.1474
0,0,0,0.14852
0,0,0,0.14947
0,0,0,0.15025
0,0,0,0.15086
0,0,0,0.15128
0,0,0,0.1515
0,0,0,0.15154
0,0,0,0.1514
0,0,0,0.15114
0,0,0,0.15099
0,0,0,2.5019e-05
-2.9491e-05,2.8578e-05,0,-0.0001127
-0.00024023,9.3273e-05,0,-0.00035072
-0.00061524,0.00013411,0,-0.00049229
-0.0010761,0.00015492,0,-0.00049849
-0.0015788,0.00016315,0,-0.00034895
-0.0020953,0.00016466,0,-4.2721e-05
-0.0026112,0.00016299,0,0.00041527
-0.0031196,0.00015988,0,0.0010196
-0.0036173,0.00015608,0,0.0017653
-0.0041024,0.00015187,0,0.0026481
-0.0045737,0.00014736,0,0.0036639
-0.0050303,0.00014258,0,0.0048089
-0.0054714,0.00013755,0,0.0060793
-0.0058962,0.00013233,0,0.0074713
-0.0063041,0.00012693,0,0.0089805
-0.0066947,0.0001214,0,0.010603
-0.0070676,0.00011578,0,0.012333
-0.0074227,0.0001101,0,0.014168
-0.0077597,0.0001044,0,0.0161
-0.0080787,9.8717e-05,0,0.018127
-0.0083799,9.3075e-05,0,0.020242
-0.0086632,8.7498e-05,0,0.022442
-0.0089291,8.2006e-05,0,0.024722
-0.0091778,7.6615e-05,0,0.027077
-0.0094096,7.1336e-05,0,0.029502
-0.009625,6.6179e-05,0,0.031994
-0.0098243,6.115e-05,0,0.034547
-0.010008,5.6251e-05,0,0.037158
-0.010176,5.1482e-05,0,0.039822
-0.01033,4.6841e-05,0,0.042534
-0.010469,4.2324e-05,0,0.045291
-0.010594,3.7925e-05,0,0.04809
-0.010705,3.3634e-05,0,0.050926
-0.010803,2.9441e-05,0,0.053797
-0.010888,2.533e-05,0,0.056698
-0.01096,2.1291e-05,0,0.059628
-0.01102,1.7305e-05,0,0.062581
-0.011066,1.3357e-05,0,0.065555
-0.011101,9.4351e-06,0,0.068545
-0.011123,5.516e-06,0,0.071549
-0.011133,1.5944e-06,0,0.074563
-0.01113,-2.3564e-06,0,0.077582
-0.011115,-6.3512e-06,0,0.080605
-0.011087,-1.0403e-05,0,0.083628
-0.011047,-1.4546e-05,0,0.086648
-0.010993,-1.8784e-05,0,0.089661
-0.010925,-2.3142e-05,0,0.092665
-0.010844,-2.7648e-05,0,0.095656
-0.010748,-3.2297e-05,0,0.098629
-0.010638,-3.7116e-05,0,0.10158
-0.010512,-4.2122e-05,0,0.1045
-0.01037,-4.7305e-05,0,0.10739
-0.010212,-5.2694e-05,0,0.11025
-0.010036,-5.8297e-05,0,0.11306
-0.0098423,-6.4099e-05,0,0.11582
-0.0096303,-7.0123e-05,0,0.11854
-0.0093992,-7.6361e-05,0,0.12119
-0.0091483,-8.2781e-05,0,0.12378
-0.0088771,-8.9384e-05,0,0.12629
-0.008585,-9.6159e-05,0,0.12873
-0.0082715,-0.00010306,0,0.13109
-0.0079364,-0.00011007,0,0.13335
-0.0075793,-0.00011715,0,0.13552
-0.0072002,-0.00012425,0,0.13758
-0.0067992,-0.00013129,0,0.13952
-0.0063763,-0.00013825,0,0.14135
-0.005932,-0.00014506,0,0.14305
-0.0054669,-0.00015164,0,0.14461
-0.0049818,-0.00015794,0,0.14603
-0.0044777,-0.00016392,0,0.1473
-0.0039557,-0.00016947,0,0.14841
-0.0034176,-0.00017444,0,0.14936
-0.0028656,-0.00017848,0,0.15014
-0.0023039,-0.00018074,0,0.15074
-0.0017406,-0.0001793,0,0.15116
-0.0011918,-0.00017043,0,0.1514
-0.00068782,-0.00014801,0,0.15144
-0.00027542,-0.00010419,0,0.15133
