U:0,U:1,U:2,p
0,0,0,-4.58E-08
0,0,0,-7.51E-05
0,0,0,-0.00026243
0,0,0,-0.00048382
0,0,0,-0.00068167
0,0,0,-0.00084011
0,0,0,-0.00096012
0,0,0,-0.0010412
0,0,0,-0.0010837
0,0,0,-0.001089
0,0,0,-0.0010591
0,0,0,-0.0009953
0,0,0,-0.00089904
0,0,0,-0.00077151
0,0,0,-0.00061401
0,0,0,-0.00042776
0,0,0,-0.00021378
0,0,0,2.70E-05
0,0,0,0.00029381
0,0,0,0.00058575
0,0,0,0.00090204
0,0,0,0.0012418
0,0,0,0.0016043
0,0,0,0.0019887
0,0,0,0.0023939
0,0,0,0.0028192
0,0,0,0.0032636
0,0,0,0.003726
0,0,0,0.0042054
0,0,0,0.0047009
0,0,0,0.0052112
0,0,0,0.0057353
0,0,0,0.006272
0,0,0,0.0068203
0,0,0,0.007379
0,0,0,0.0079468
0,0,0,0.0085226
0,0,0,0.0091053
0,0,0,0.0096934
0,0,0,0.010286
0,0,0,0.010882
0,0,0,0.011479
0,0,0,0.012077
0,0,0,0.012674
0,0,0,0.013269
0,0,0,0.013861
0,0,0,0.014448
0,0,0,0.015029
0,0,0,0.015603
0,0,0,0.016168
0,0,0,0.016724
0,0,0,0.017268
0,0,0,0.017799
0,0,0,0.018317
0,0,0,0.01882
0,0,0,0.019307
0,0,0,0.019777
0,0,0,0.020227
0,0,0,0.020659
0,0,0,0.02107
0,0,0,0.021458
0,0,0,0.021825
0,0,0,0.022167
0,0,0,0.022485
0,0,0,0.022778
0,0,0,0.023043
0,0,0,0.023281
0,0,0,0.023491
0,0,0,0.023672
0,0,0,0.023822
0,0,0,0.023941
0,0,0,0.024027
0,0,0,0.024082
0,0,0,0.024104
0,0,0,0.024094
0,0,0,0.024055
0,0,0,0.023992
0,0,0,0.023913
0,0,0,0.023833
0,0,0,0.023771
0,0,0,0.023748
0,0,0,-2.94E-05
-2.94E-06,-7.32E-06,0,-0.00010223
-2.36E-05,1.33E-05,0,-0.00027528
-7.98E-05,4.13E-05,0,-0.00047225
-0.00017065,6.39E-05,0,-0.00064927
-0.00029133,8.15E-05,0,-0.00079279
-0.00043409,9.43E-05,0,-0.00090169
-0.00059297,0.000103,0,-0.00097484
-0.00076287,0.00010853,0,-0.001012
-0.0009397,0.00011166,0,-0.0010139
-0.0011203,0.00011305,0,-0.00098182
-0.0013022,0.00011316,0,-0.00091704
-0.0014838,0.00011236,0,-0.00082062
-0.0016637,0.0001109,0,-0.00069361
-0.001841,0.00010899,0,-0.00053711
-0.0020151,0.00010674,0,-0.00035218
-0.0021854,0.00010424,0,-0.00013978
-0.0023516,0.00010153,0,9.92E-05
-0.0025133,9.86E-05,0,0.00036406
-0.0026701,9.56E-05,0,0.00065388
-0.0028219,9.23E-05,0,0.00096791
-0.0029683,8.90E-05,0,0.0013053
-0.0031091,8.54E-05,0,0.0016654
-0.0032441,8.18E-05,0,0.0020471
-0.0033731,7.80E-05,0,0.0024497
-0.0034957,7.40E-05,0,0.0028721
-0.0036118,7.00E-05,0,0.0033136
-0.0037212,6.58E-05,0,0.003773
-0.0038238,6.15E-05,0,0.0042494
-0.0039192,5.70E-05,0,0.0047416
-0.0040074,5.25E-05,0,0.0052487
-0.0040881,4.79E-05,0,0.0057695
-0.0041613,4.31E-05,0,0.0063028
-0.0042268,3.83E-05,0,0.0068477
-0.0042844,3.35E-05,0,0.0074028
-0.004334,2.85E-05,0,0.0079671
-0.0043756,2.35E-05,0,0.0085393
-0.0044091,1.84E-05,0,0.0091182
-0.0044343,1.33E-05,0,0.0097027
-0.0044512,8.13E-06,0,0.010291
-0.0044597,2.94E-06,0,0.010883
-0.0044598,-2.28E-06,0,0.011477
-0.0044515,-7.50E-06,0,0.012071
-0.0044348,-1.27E-05,0,0.012665
-0.0044096,-1.80E-05,0,0.013256
-0.004376,-2.32E-05,0,0.013844
-0.004334,-2.84E-05,0,0.014427
-0.0042837,-3.35E-05,0,0.015005
-0.0042251,-3.87E-05,0,0.015575
-0.0041582,-4.37E-05,0,0.016137
-0.0040832,-4.88E-05,0,0.016688
-0.0040003,-5.37E-05,0,0.017229
-0.0039094,-5.86E-05,0,0.017757
-0.0038107,-6.33E-05,0,0.018272
-0.0037045,-6.80E-05,0,0.018771
-0.0035908,-7.26E-05,0,0.019255
-0.0034699,-7.70E-05,0,0.019721
-0.0033419,-8.14E-05,0,0.020169
-0.0032071,-8.56E-05,0,0.020597
-0.0030656,-8.96E-05,0,0.021005
-0.0029178,-9.35E-05,0,0.021391
-0.0027639,-9.73E-05,0,0.021755
-0.0026041,-0.00010081,0,0.022095
-0.0024388,-0.00010418,0,0.022411
-0.0022683,-0.00010733,0,0.022701
-0.002093,-0.00011023,0,0.022965
-0.0019135,-0.00011283,0,0.023201
-0.0017302,-0.00011503,0,0.02341
-0.0015439,-0.00011671,0,0.023589
-0.0013557,-0.00011768,0,0.023739
-0.0011669,-0.00011765,0,0.023858
-0.00097945,-0.00011625,0,0.023947
-0.00079584,-0.00011297,0,0.024004
-0.00061941,-0.00010718,0,0.02403
-0.00045442,-9.81E-05,0,0.024026
-0.00030615,-8.51E-05,0,0.023996
-0.0001807,-6.74E-05,0,0.023943
-8.45E-05,-4.50E-05,0,0.023875
-2.29E-05,-1.96E-05,0,0.023805
1.91E-06,1.87E-06,0,0.023748
0,0,0,0.023725
0,0,0,-9.51E-05
-2.35E-05,1.89E-05,0,-0.00016175
-8.75E-05,7.86E-05,0,-0.0003068
-0.00021002,0.00014974,0,-0.00046088
-0.00038717,0.00021228,0,-0.00060182
-0.00061086,0.00026281,0,-0.00071898
-0.00087153,0.00030098,0,-0.00080807
-0.0011599,0.00032806,0,-0.00086685
-0.0014679,0.00034592,0,-0.00089407
-0.0017885,0.00035652,0,-0.00088937
-0.0021163,0.00036162,0,-0.00085314
-0.0024471,0.00036261,0,-0.00078608
-0.0027777,0.00036061,0,-0.00068894
-0.0031057,0.00035642,0,-0.00056244
-0.0034294,0.00035063,0,-0.00040733
-0.0037474,0.00034366,0,-0.00022444
-0.0040587,0.00033576,0,-1.46E-05
-0.0043625,0.00032711,0,0.00022155
-0.0046581,0.00031782,0,0.00048312
-0.0049449,0.00030794,0,0.00076942
-0.0052225,0.00029753,0,0.0010797
-0.0054902,0.00028661,0,0.0014131
-0.0057476,0.0002752,0,0.0017689
-0.0059943,0.00026333,0,0.0021463
-0.0062299,0.00025101,0,0.0025443
-0.0064539,0.00023825,0,0.002962
-0.006666,0.00022507,0,0.0033985
-0.0068657,0.00021149,0,0.0038528
-0.0070528,0.00019754,0,0.004324
-0.0072269,0.00018322,0,0.0048108
-0.0073876,0.00016857,0,0.0053123
-0.0075347,0.0001536,0,0.0058274
-0.007668,0.00013834,0,0.006355
-0.0077871,0.00012282,0,0.0068939
-0.0078918,0.00010705,0,0.0074431
-0.0079819,9.11E-05,0,0.0080012
-0.0080573,7.49E-05,0,0.0085673
-0.0081178,5.85E-05,0,0.00914
-0.0081631,4.20E-05,0,0.0097182
-0.0081933,2.54E-05,0,0.010301
-0.0082083,8.67E-06,0,0.010886
-0.0082078,-8.12E-06,0,0.011473
-0.008192,-2.49E-05,0,0.012061
-0.0081607,-4.18E-05,0,0.012648
-0.0081141,-5.86E-05,0,0.013233
-0.008052,-7.54E-05,0,0.013815
-0.0079747,-9.21E-05,0,0.014392
-0.0078821,-0.00010871,0,0.014963
-0.0077744,-0.00012518,0,0.015527
-0.0076517,-0.00014148,0,0.016082
-0.0075143,-0.00015758,0,0.016628
-0.0073622,-0.00017346,0,0.017162
-0.0071957,-0.00018908,0,0.017684
-0.007015,-0.0002044,0,0.018193
-0.0068206,-0.00021941,0,0.018687
-0.0066126,-0.00023407,0,0.019165
-0.0063913,-0.00024835,0,0.019626
-0.0061573,-0.00026222,0,0.020069
-0.0059108,-0.00027565,0,0.020492
-0.0056522,-0.00028861,0,0.020896
-0.0053821,-0.00030106,0,0.021278
-0.0051009,-0.00031298,0,0.021637
-0.0048092,-0.0003243,0,0.021973
-0.0045075,-0.00033498,0,0.022285
-0.0041964,-0.00034492,0,0.022572
-0.0038769,-0.000354,0,0.022833
-0.0035497,-0.00036201,0,0.023066
-0.003216,-0.00036868,0,0.023273
-0.0028773,-0.00037356,0,0.023451
-0.0025355,-0.00037605,0,0.0236
-0.0021932,-0.0003753,0,0.02372
-0.0018538,-0.00037016,0,0.023811
-0.0015217,-0.00035921,0,0.023873
-0.0012026,-0.00034071,0,0.023906
-0.00090372,-0.00031275,0,0.023913
-0.0006334,-0.00027351,0,0.023895
-0.00040112,-0.00022182,0,0.023857
-0.00021621,-0.00015827,0,0.023806
-8.70E-05,-8.73E-05,0,0.023748
-1.95E-05,-2.29E-05,0,0.02369
0,0,0,0.023663
0,0,0,-0.00015641
-4.43E-05,8.03E-05,0,-0.00021779
-0.0001536,0.0002046,0,-0.00034313
-0.00034235,0.00033828,0,-0.00046854
-0.00059871,0.00045802,0,-0.00058423
-0.00091247,0.00055628,0,-0.00068181
-0.0012727,0.00063189,0,-0.0007556
-0.0016683,0.00068662,0,-0.00080267
-0.0020892,0.00072353,0,-0.00082134
-0.0025268,0.00074604,0,-0.00081064
-0.0029742,0.00075734,0,-0.00077034
-0.0034258,0.00076014,0,-0.00070068
-0.0038775,0.00075662,0,-0.00060214
-0.0043259,0.00074842,0,-0.00047523
-0.0047687,0.00073673,0,-0.00032051
-0.0052039,0.00072241,0,-0.00013857
-0.0056301,0.00070603,0,6.99E-05
-0.0060462,0.00068797,0,0.0003043
-0.0064511,0.00066848,0,0.00056385
