U:0,U:1,U:2,p
0,0,0,-2.35E-09
0,0,0,-6.11E-06
0,0,0,-2.50E-05
0,0,0,-5.44E-05
0,0,0,-8.82E-05
0,0,0,-0.00012128
0,0,0,-0.00015046
0,0,0,-0.00017357
0,0,0,-0.00018935
0,0,0,-0.00019705
0,0,0,-0.00019621
0,0,0,-0.00018663
0,0,0,-0.00016835
0,0,0,-0.00014157
0,0,0,-0.00010648
0,0,0,-6.33E-05
0,0,0,-1.22E-05
0,0,0,4.66E-05
0,0,0,0.00011282
0,0,0,0.0001864
0,0,0,0.0002671
0,0,0,0.00035477
0,0,0,0.00044924
0,0,0,0.00055038
0,0,0,0.000658
0,0,0,0.00077195
0,0,0,0.00089206
0,0,0,0.0010182
0,0,0,0.00115
0,0,0,0.0012875
0,0,0,0.0014304
0,0,0,0.0015784
0,0,0,0.0017313
0,0,0,0.0018889
0,0,0,0.0020508
0,0,0,0.0022169
0,0,0,0.0023868
0,0,0,0.0025601
0,0,0,0.0027365
0,0,0,0.0029158
0,0,0,0.0030973
0,0,0,0.0032809
0,0,0,0.003466
0,0,0,0.0036521
0,0,0,0.003839
0,0,0,0.0040259
0,0,0,0.0042126
0,0,0,0.0043984
0,0,0,0.0045828
0,0,0,0.0047653
0,0,0,0.0049455
0,0,0,0.0051226
0,0,0,0.0052962
0,0,0,0.0054658
0,0,0,0.0056307
0,0,0,0.0057905
0,0,0,0.0059445
0,0,0,0.0060923
0,0,0,0.0062334
0,0,0,0.0063672
0,0,0,0.0064931
0,0,0,0.0066107
0,0,0,0.0067195
0,0,0,0.006819
0,0,0,0.0069087
0,0,0,0.0069882
0,0,0,0.007057
0,0,0,0.0071147
0,0,0,0.007161
0,0,0,0.0071956
0,0,0,0.0072185
0,0,0,0.0072296
0,0,0,0.0072292
0,0,0,0.0072179
0,0,0,0.0071968
0,0,0,0.0071677
0,0,0,0.0071332
0,0,0,0.0070969
0,0,0,0.0070647
0,0,0,0.0070434
0,0,0,0.0070363
0,0,0,5.81E-06
7.70E-06,-7.76E-06,0,-2.99E-07
-3.84E-07,4.95E-06,0,-1.79E-05
-3.41E-05,2.38E-05,0,-4.40E-05
-9.61E-05,4.28E-05,0,-7.38E-05
-0.00018485,5.95E-05,0,-0.00010301
-0.00029663,7.32E-05,0,-0.00012872
-0.0004273,8.40E-05,0,-0.00014892
-0.00057275,9.21E-05,0,-0.00016236
-0.00072922,9.79E-05,0,-0.00016828
-0.00089347,0.00010173,0,-0.00016618
-0.0010628,0.00010402,0,-0.00015579
-0.001235,0.00010509,0,-0.00013709
-0.0014084,0.00010523,0,-0.00011015
-0.0015815,0.00010464,0,-7.51E-05
-0.0017534,0.00010351,0,-3.22E-05
-0.0019231,0.00010196,0,1.84E-05
-0.00209,0.00010009,0,7.67E-05
-0.0022537,9.80E-05,0,0.00014233
-0.0024137,9.57E-05,0,0.0002152
-0.0025697,9.31E-05,0,0.00029514
-0.0027214,9.05E-05,0,0.00038198
-0.0028685,8.77E-05,0,0.00047559
-0.0030107,8.47E-05,0,0.00057579
-0.0031479,8.16E-05,0,0.00068244
-0.0032797,7.84E-05,0,0.00079537
-0.0034059,7.50E-05,0,0.00091441
-0.0035263,7.14E-05,0,0.0010394
-0.0036406,6.77E-05,0,0.0011701
-0.0037485,6.39E-05,0,0.0013064
-0.00385,5.99E-05,0,0.001448
-0.0039446,5.58E-05,0,0.0015947
-0.0040322,5.15E-05,0,0.0017463
-0.0041125,4.71E-05,0,0.0019025
-0.0041853,4.25E-05,0,0.0020631
-0.0042503,3.78E-05,0,0.0022277
-0.0043075,3.29E-05,0,0.0023961
-0.0043564,2.79E-05,0,0.0025679
-0.004397,2.28E-05,0,0.0027428
-0.0044291,1.76E-05,0,0.0029205
-0.0044525,1.23E-05,0,0.0031004
