"U:0","U:1","U:2","p"
0,0,0,-1.4756e-09
0,0,0,-2.1766e-07
0,0,0,-6.2175e-07
0,0,0,-9.0431e-07
0,0,0,-9.7487e-07
0,0,0,-7.4371e-07
0,0,0,-1.1198e-07
0,0,0,9.6795e-07
0,0,0,2.5118e-06
0,0,0,4.5209e-06
0,0,0,6.991e-06
0,0,0,9.9156e-06
0,0,0,1.3287e-05
0,0,0,1.7098e-05
0,0,0,2.1341e-05
0,0,0,2.6006e-05
0,0,0,3.1086e-05
0,0,0,3.657e-05
0,0,0,4.2448e-05
0,0,0,4.8709e-05
0,0,0,5.5342e-05
0,0,0,6.2334e-05
0,0,0,6.9671e-05
0,0,0,7.7341e-05
0,0,0,8.5327e-05
0,0,0,9.3616e-05
0,0,0,0.00010219
0,0,0,0.00011104
0,0,0,0.00012013
0,0,0,0.00012947
0,0,0,0.00013902
0,0,0,0.00014877
0,0,0,0.0001587
0,0,0,0.00016879
0,0,0,0.00017903
0,0,0,0.00018938
0,0,0,0.00019984
0,0,0,0.00021038
0,0,0,0.00022098
0,0,0,0.00023162
0,0,0,0.00024228
0,0,0,0.00025294
0,0,0,0.00026358
0,0,0,0.00027417
0,0,0,0.00028471
0,0,0,0.00029516
0,0,0,0.0003055
0,0,0,0.00031573
0,0,0,0.0003258
0,0,0,0.00033572
0,0,0,0.00034545
0,0,0,0.00035498
0,0,0,0.00036429
0,0,0,0.00037336
0,0,0,0.00038218
0,0,0,0.00039072
0,0,0,0.00039897
0,0,0,0.00040691
0,0,0,0.00041454
0,0,0,0.00042182
0,0,0,0.00042875
0,0,0,0.00043532
0,0,0,0.00044151
0,0,0,0.00044731
0,0,0,0.00045271
0,0,0,0.00045769
0,0,0,0.00046225
0,0,0,0.00046637
0,0,0,0.00047005
0,0,0,0.00047327
0,0,0,0.00047603
0,0,0,0.00047831
0,0,0,0.00048011
0,0,0,0.00048142
0,0,0,0.00048222
0,0,0,0.00048253
0,0,0,0.00048239
0,0,0,0.00048185
0,0,0,0.00048104
0,0,0,0.00048016
0,0,0,0.00047973
0,0,0,2.1173e-06
-1.4338e-06,2.6929e-06,0,1.7336e-06
-5.1021e-06,6.2846e-06,0,1.0934e-06
-1.1142e-05,9.2911e-06,0,7.3936e-07
-1.8856e-05,1.1442e-05,0,6.9259e-07
-2.7604e-05,1.279e-05,0,9.7793e-07
-3.6985e-05,1.3527e-05,0,1.6567e-06
-4.6699e-05,1.3853e-05,0,2.7658e-06
-5.6543e-05,1.3926e-05,0,4.3205e-06
-6.6392e-05,1.3853e-05,0,6.3251e-06
-7.6171e-05,1.3699e-05,0,8.779e-06
-8.5833e-05,1.3497e-05,0,1.1679e-05
-9.5349e-05,1.3266e-05,0,1.5019e-05
-0.0001047,1.3011e-05,0,1.8795e-05
-0.00011386,1.2736e-05,0,2.2998e-05
-0.00012282,1.2441e-05,0,2.762e-05
-0.00013157,1.2126e-05,0,3.2655e-05
-0.00014008,1.1792e-05,0,3.809e-05
-0.00014835,1.1437e-05,0,4.3918e-05
-0.00015636,1.1064e-05,0,5.0127e-05
-0.00016409,1.0671e-05,0,5.6704e-05
-0.00017154,1.026e-05,0,6.3639e-05
-0.00017868,9.8316e-06,0,7.0917e-05
-0.00018552,9.3858e-06,0,7.8525e-05
-0.00019203,8.9235e-06,0,8.6448e-05
-0.0001982,8.4456e-06,0,9.4672e-05
-0.00020403,7.9529e-06,0,0.00010318
-0.00020951,7.4463e-06,0,0.00011196
-0.00021461,6.9266e-06,0,0.00012099
-0.00021935,6.3948e-06,0,0.00013025
-0.0002237,5.8517e-06,0,0.00013973
-0.00022766,5.2983e-06,0,0.0001494
-0.00023122,4.7356e-06,0,0.00015926
-0.00023438,4.1646e-06,0,0.00016928
-0.00023713,3.5861e-06,0,0.00017943
-0.00023946,3.0013e-06,0,0.00018971
-0.00024138,2.4111e-06,0,0.00020009
-0.00024288,1.8167e-06,0,0.00021055
-0.00024395,1.2189e-06,0,0.00022107
-0.0002446,6.1925e-07,0,0.00023163
-0.00024482,1.9196e-08,0,0.00024221
-0.00024461,-5.8053e-07,0,0.00025279
-0.00024397,-1.1798e-06,0,0.00026335
-0.00024291,-1.7775e-06,0,0.00027387
-0.00024143,-2.3724e-06,0,0.00028432
-0.00023952,-2.9632e-06,0,0.0002947
-0.0002372,-3.5488e-06,0,0.00030497
-0.00023446,-4.1282e-06,0,0.00031511
-0.00023131,-4.7004e-06,0,0.00032511
-0.00022775,-5.2644e-06,0,0.00033496
-0.0002238,-5.8191e-06,0,0.00034461
-0.00021946,-6.3637e-06,0,0.00035407
-0.00021473,-6.8972e-06,0,0.00036331
-0.00020963,-7.4186e-06,0,0.00037232
-0.00020416,-7.927e-06,0,0.00038106
-0.00019834,-8.4216e-06,0,0.00038954
-0.00019216,-8.9015e-06,0,0.00039773
-0.00018565,-9.3659e-06,0,0.00040561
-0.00017882,-9.8139e-06,0,0.00041317
-0.00017167,-1.0245e-05,0,0.0004204
-0.00016422,-1.0658e-05,0,0.00042728
-0.00015649,-1.1053e-05,0,0.0004338
-0.00014847,-1.1429e-05,0,0.00043994
-0.0001402,-1.1786e-05,0,0.00044569
-0.00013168,-1.2123e-05,0,0.00045105
-0.00012293,-1.244e-05,0,0.00045599
-0.00011396,-1.2738e-05,0,0.00046051
-0.00010479,-1.3015e-05,0,0.0004646
-9.5428e-05,-1.3271e-05,0,0.00046825
-8.5901e-05,-1.3502e-05,0,0.00047145
-7.6229e-05,-1.3702e-05,0,0.00047419
-6.6442e-05,-1.3851e-05,0,0.00047647
-5.6586e-05,-1.3916e-05,0,0.00047828
-4.6737e-05,-1.383e-05,0,0.00047961
-3.7021e-05,-1.3486e-05,0,0.00048047
-2.7641e-05,-1.2727e-05,0,0.00048087
-1.8896e-05,-1.1356e-05,0,0.00048082
-1.1213e-05,-9.1883e-06,0,0.0004804
-5.1807e-06,-6.1782e-06,0,0.00047964
-1.5191e-06,-2.7036e-06,0,0.00047864
0,0,0,0.0004781
0,0,0,5.1768e-06
-3.0804e-06,1.0141e-05,0,4.4947e-06
-9.3996e-06,1.9796e-05,0,3.3879e-06
-1.9099e-05,2.7374e-05,0,2.8014e-06
-3.1001e-05,3.2696e-05,0,2.6783e-06
-4.4263e-05,3.6067e-05,0,2.9544e-06
-5.8349e-05,3.7967e-05,0,3.639e-06
-7.2881e-05,3.8862e-05,0,4.75e-06
-8.7598e-05,3.9115e-05,0,6.2963e-06
-0.00010233,3.8976e-05,0,8.2818e-06
-0.00011697,3.8601e-05,0,1.0707e-05
-0.00013145,3.8078e-05,0,1.3572e-05
-0.00014572,3.7454e-05,0,1.6872e-05
-0.00015975,3.6752e-05,0,2.0602e-05
-0.0001735,3.5983e-05,0,2.4757e-05
-0.00018695,3.5152e-05,0,2.9329e-05
-0.00020008,3.4262e-05,0,3.431e-05
-0.00021286,3.3314e-05,0,3.9691e-05
-0.00022527,3.2309e-05,0,4.5461e-05
-0.00023729,3.1249e-05,0,5.161e-05
-0.0002489,3.0135e-05,0,5.8126e-05
-0.00026007,2.897e-05,0,6.4998e-05
-0.0002708,2.7754e-05,0,7.2211e-05
-0.00028105,2.6491e-05,0,7.9752e-05
-0.00029082,2.5181e-05,0,8.7607e-05
-0.00030009,2.3828e-05,0,9.5761e-05
-0.00030883,2.2433e-05,0,0.0001042
-0.00031704,2.0999e-05,0,0.0001129
-0.00032471,1.9529e-05,0,0.00012186
-0.0003318,1.8024e-05,0,0.00013104
-0.00033833,1.6488e-05,0,0.00014045
-0.00034427,1.4924e-05,0,0.00015004
-0.00034961,1.3333e-05,0,0.00015982
-0.00035434,1.1719e-05,0,0.00016976
-0.00035847,1.0084e-05,0,0.00017983
-0.00036197,8.4322e-06,0,0.00019003
-0.00036484,6.7651e-06,0,0.00020033
-0.00036709,5.0861e-06,0,0.00021071
-0.00036869,3.3981e-06,0,0.00022115
-0.00036966,1.7041e-06,0,0.00023162
-0.00036999,7.1105e-09,0,0.00024212
-0.00036968,-1.69e-06,0,0.00025262
-0.00036872,-3.3845e-06,0,0.0002631
-0.00036713,-5.0732e-06,0,0.00027353
-0.00036491,-6.7533e-06,0,0.00028391
-0.00036205,-8.4218e-06,0,0.0002942
-0.00035856,-1.0076e-05,0,0.00030439
-0.00035445,-1.1712e-05,0,0.00031445
-0.00034972,-1.3329e-05,0,0.00032438
-0.00034439,-1.4922e-05,0,0.00033414
-0.00033847,-1.6489e-05,0,0.00034373
-0.00033195,-1.8028e-05,0,0.00035311
-0.00032486,-1.9536e-05,0,0.00036228
-0.00031721,-2.101e-05,0,0.00037121
-0.00030901,-2.2447e-05,0,0.00037989
-0.00030027,-2.3846e-05,0,0.00038829
-0.00029101,-2.5203e-05,0,0.00039642
-0.00028124,-2.6517e-05,0,0.00040423
-0.00027099,-2.7785e-05,0,0.00041174
-0.00026026,-2.9004e-05,0,0.0004189
-0.00024908,-3.0174e-05,0,0.00042573
-0.00023747,-3.1292e-05,0,0.00043219
-0.00022545,-3.2356e-05,0,0.00043828
-0.00021304,-3.3365e-05,0,0.00044398
-0.00020025,-3.4317e-05,0,0.00044929
-0.00018711,-3.5211e-05,0,0.00045418
-0.00017365,-3.6045e-05,0,0.00045866
-0.00015989,-3.6816e-05,0,0.00046272
-0.00014586,-3.7519e-05,0,0.00046634
-0.00013158,-3.8142e-05,0,0.00046952
-0.00011709,-3.8661e-05,0,0.00047224
-0.00010244,-3.9028e-05,0,0.00047452
-8.7695e-05,-3.9156e-05,0,0.00047634
-7.2969e-05,-3.8887e-05,0,0.00047771
-5.8426e-05,-3.7974e-05,0,0.00047863
-4.4327e-05,-3.6055e-05,0,0.0004791
-3.1051e-05,-3.2671e-05,0,0.00047915
-1.9137e-05,-2.7344e-05,0,0.00047879
-9.4218e-06,-1.9779e-05,0,0.00047799
-3.1001e-06,-1.023e-05,0,0.0004767
0,0,0,0.00047594
0,0,0,5.9503e-06
-3.7403e-06,2.0926e-05,0,5.0746e-06
-1.1264e-05,3.8514e-05,0,3.6246e-06
-2.2701e-05,5.175e-05,0,2.7903e-06
-3.66e-05,6.087e-05,0,2.5032e-06
-5.1972e-05,6.6621e-05,0,2.6683e-06
-6.8215e-05,6.988e-05,0,3.277e-06
-8.4915e-05,7.1436e-05,0,4.336e-06
-0.0001018,7.1894e-05,0,5.8462e-06
-0.00011868,7.1666e-05,0,7.8059e-06
-0.00013546,7.1011e-05,0,1.0213e-05
-0.00015204,7.008e-05,0,1.3064e-05
-0.00016839,6.8955e-05,0,1.6354e-05
-0.00018446,6.7678e-05,0,2.0078e-05
-0.00020022,6.6272e-05,0,2.4229e-05
-0.00021563,6.4746e-05,0,2.88e-05
-0.00023067,6.3109e-05,0,3.3783e-05
-0.00024532,6.1363e-05,0,3.9167e-05
-0.00025954,5.9511e-05,0,4.4944e-05
-0.00027331,5.7558e-05,0,5.1101e-05
-0.00028661,5.5505e-05,0,5.7628e-05
-0.00029941,5.3357e-05,0,6.4512e-05
-0.0003117,5.1117e-05,0,7.1739e-05
-0.00032345,4.8789e-05,0,7.9296e-05
-0.00033464,4.6377e-05,0,8.7169e-05
-0.00034526,4.3884e-05,0,9.5342e-05
-0.00035527,4.1315e-05,0,0.0001038
-0.00036468,3.8675e-05,0,0.00011252
-0.00037345,3.5968e-05,0,0.0001215
-0.00038159,3.3198e-05,0,0.00013071
-0.00038906,3.0371e-05,0,0.00014014
-0.00039586,2.7491e-05,0,0.00014976
-0.00040198,2.4564e-05,0,0.00015957
-0.0004074,2.1593e-05,0,0.00016953
-0.00041212,1.8585e-05,0,0.00017964
-0.00041613,1.5545e-05,0,0.00018986
-0.00041943,1.2478e-05,0,0.00020019
-0.000422,9.3884e-06,0,0.0002106
-0.00042384,6.2827e-06,0,0.00022107
-0.00042495,3.1658e-06,0,0.00023158
-0.00042532,4.3098e-08,0,0.00024211
-0.00042496,-3.08e-06,0,0.00025264
-0.00042387,-6.1979e-06,0,0.00026314
-0.00042205,-9.3051e-06,0,0.00027361
-0.00041949,-1.2396e-05,0,0.00028401
-0.00041622,-1.5466e-05,0,0.00029433
-0.00041222,-1.851e-05,0,0.00030455
-0.00040751,-2.1521e-05,0,0.00031465
-0.0004021,-2.4496e-05,0,0.0003246
-0.000396,-2.7428e-05,0,0.0003344
-0.00038921,-3.0313e-05,0,0.00034401
-0.00038175,-3.3146e-05,0,0.00035342
-0.00037363,-3.5921e-05,0,0.00036261
-0.00036486,-3.8635e-05,0,0.00037157
-0.00035546,-4.1281e-05,0,0.00038027
-0.00034545,-4.3857e-05,0,0.0003887
-0.00033484,-4.6357e-05,0,0.00039684
-0.00032365,-4.8776e-05,0,0.00040468
-0.0003119,-5.1112e-05,0,0.00041221
-0.00029962,-5.3359e-05,0,0.00041939
-0.00028681,-5.5515e-05,0,0.00042623
-0.00027351,-5.7574e-05,0,0.00043271
-0.00025973,-5.9535e-05,0,0.00043881
-0.00024551,-6.1393e-05,0,0.00044453
-0.00023086,-6.3146e-05,0,0.00044985
-0.00021581,-6.479e-05,0,0.00045476
